estado,precipitacion_anual_mm,temp_media_anual_c,temp_maxima_anual_c,temp_minima_anual_c
Aguascalientes,628.9,18.4,27.1,9.7
Baja California,131.9,19.6,26.2,13.0
Baja California Sur,269.9,24.0,30.1,17.9
Campeche,1084.4,28.1,33.6,22.5
Coahuila,218.6,23.3,30.3,16.3
Colima,1586.4,27.2,33.0,21.4
Chiapas,1966.1,25.8,31.5,20.0
Chihuahua,406.4,19.1,27.7,10.5
Ciudad de México,894.1,18.4,24.8,12.1
Durango,544.7,19.5,28.6,10.3
Guanajuato,682.0,19.3,27.3,11.4
Guerrero,1250.8,25.8,32.3,19.3
Hidalgo,825.5,19.4,26.6,12.1
Jalisco,927.1,22.0,29.8,14.2
Estado de México,1067.8,15.7,23.2,8.2
Michoacán,886.1,20.4,28.7,12.1
Morelos,2098.7,22.8,30.1,15.5
Nayarit,1477.9,25.5,32.6,18.5
Nuevo León,441.7,23.5,30.7,16.2
Oaxaca,1284.6,24.1,31.0,17.2
Puebla,1343.8,18.8,26.1,11.4
Querétaro,673.1,20.3,27.6,13.0
Quintana Roo,1139.4,27.8,32.4,23.1
San Luis Potosí,693.2,23.4,30.9,16.0
Sinaloa,889.1,26.3,34.4,18.2
Sonora,448.7,23.6,32.6,14.6
Tabasco,1622.7,28.0,33.2,22.8
Tamaulipas,820.7,25.5,31.7,19.3
Tlaxcala,846.4,15.5,23.6,7.3
Veracruz,1758.1,23.4,29.0,17.8
Yucatán,972.3,27.4,33.5,21.4
Zacatecas,521.5,18.2,27.1,9.3
