cultivo,sup_sembrada_ha,sup_cosechada_ha,sup_siniestrada_ha,produccion,rendimiento,tasa_cosecha_pct,tasa_siniestro_pct,es_flor
Agave,307560.28,41406.21,0.0,2674729.63,64.6,13.46,0.0,False
Aguacate,268385.45,255783.91,10.0,2725079.59,10.65,95.3,0.0037,False
Ajo,7709.52,7682.76,25.56,101294.25,13.18,99.65,0.3315,False
Ajonjolí,46492.31,42926.95,86.56,31886.78,0.74,92.33,0.1862,False
Alfalfa,401419.23,401416.23,0.0,35787393.06,89.15,100.0,0.0,False
Algodón hueso,74624.78,61522.58,8818.2,303986.02,4.94,82.44,11.8167,False
Amaranto,4094.71,3833.96,40.0,6416.85,1.67,93.63,0.9769,False
Arroz palay,40297.32,38404.02,255.0,234949.77,6.12,95.3,0.6328,False
Avena forrajera en verde,548794.62,478318.4,3833.24,7715760.05,16.13,87.16,0.6985,False
Avena grano,44795.04,39320.4,1971.0,91934.6,2.34,87.78,4.4,False
Berenjena,1108.85,1094.65,3.0,50544.0,46.17,98.72,0.2706,False
Brócoli,32845.04,31762.97,334.47,551627.88,17.37,96.71,1.0183,False
Cacao,52452.09,52331.4,0.0,27874.55,0.53,99.77,0.0,False
Café cereza,700435.94,664463.74,0.0,1075983.44,1.62,94.86,0.0,False
Calabacita,30632.71,22737.0,7299.41,423085.76,18.61,74.22,23.8288,False
Caña de azúcar,839799.96,793342.65,0.0,51521399.08,64.94,94.47,0.0,False
Cártamo,31497.69,28768.69,2729.0,56414.43,1.96,91.34,8.6641,False
Cebada grano,297999.09,272219.43,5286.0,844377.35,3.1,91.35,1.7738,False
Cebolla,45212.31,44296.72,215.18,1368238.71,30.89,97.97,0.4759,False
Chile verde,144077.64,141339.34,403.59,2847967.81,20.15,98.1,0.2801,False
Coliflor,3855.41,3745.66,26.56,83643.17,22.33,97.15,0.6889,False
Copra,127210.19,124518.99,0.0,235872.97,1.89,97.88,0.0,False
Crisantemo,2751.35,2743.55,0.0,11198648.0,4081.81,99.72,0.0,True
Durazno,33814.25,32524.73,201.0,268068.47,8.24,96.19,0.5944,False
Elote,71988.52,70879.25,286.9,1016766.75,14.35,98.46,0.3985,False
Espárrago,33768.65,33194.65,11.0,287592.75,8.66,98.3,0.0326,False
Frambuesa,9487.64,9447.04,6.0,154923.02,16.4,99.57,0.0632,False
Fresa,15086.33,14572.94,60.5,609896.85,41.85,96.6,0.401,False
Frijol,1544803.58,1255514.28,15026.91,1121513.81,0.89,81.27,0.9727,False
Garbanzo grano,119094.01,119066.01,13.0,212871.2,1.79,99.98,0.0109,False
Gerbera,111.0,111.0,0.0,1353032.9,12189.49,100.0,0.0,True
Gladiola,4321.73,4062.6,4.6,4758738.65,1171.35,94.0,0.1064,True
Guayaba,21123.35,20890.68,0.0,325710.56,15.59,98.9,0.0,False
Lechuga,22320.66,21612.84,249.86,498222.56,23.05,96.83,1.1194,False
Limón,231748.38,217161.69,0.0,3332895.19,15.35,93.71,0.0,False
Maguey pulquero,9313.8,4959.3,0.0,206438.65,41.63,53.25,0.0,False
Maíz forrajero en verde,543475.32,514103.11,1725.0,14810181.2,28.81,94.6,0.3174,False
Maíz grano,6715135.26,5395811.03,84345.32,18998771.09,3.52,80.35,1.256,False
Mango,239435.2,211935.39,2.2,2327055.07,10.98,88.51,0.0009,False
Manzana,57046.67,54808.15,0.5,898125.55,16.39,96.08,0.0009,False
Melón,16995.21,16730.39,8.1,501341.81,29.97,98.44,0.0477,False
Naranja,355448.51,343907.16,35.0,4627370.07,13.46,96.75,0.0098,False
Nopalitos,12647.75,12427.7,0.0,802475.01,64.57,98.26,0.0,False
Nuez,166591.48,129094.15,2.0,179625.09,1.39,77.49,0.0012,False
Papa,68823.22,66860.86,55.0,2161843.56,32.33,97.15,0.0799,False
Papaya,21167.59,20730.59,0.0,1109829.11,53.54,97.94,0.0,False
Pepino,15167.16,14790.73,36.0,677983.96,45.84,97.52,0.2374,False
Pera,3638.06,3562.79,0.0,26657.93,7.48,97.93,0.0,False
Piña,47564.7,35937.2,0.0,1722856.59,47.94,75.55,0.0,False
Plátano,90110.66,87655.0,0.0,2583782.07,29.48,97.27,0.0,False
Rosa,1714.67,1704.36,0.0,9500598.25,5574.29,99.4,0.0,True
Sandía,39783.33,39211.15,70.0,1244550.58,31.74,98.56,0.176,False
Sorgo forrajero en verde,96344.64,88692.59,2162.1,2221975.72,25.05,92.06,2.2441,False
Sorgo grano,1234636.05,1177013.45,11501.0,3816988.22,3.24,95.33,0.9315,False
Soya,156066.1,139196.1,5000.0,286992.83,2.06,89.19,3.2038,False
Tabaco,7145.41,7145.41,0.0,17746.86,2.48,100.0,0.0,False
Tomate rojo (jitomate),42111.59,40874.51,275.35,2807090.03,68.68,97.06,0.6539,False
Tomate verde,36676.91,35801.19,84.92,641377.91,17.91,97.61,0.2315,False
Toronja (pomelo),21761.13,21048.13,0.0,460622.27,21.88,96.72,0.0,False
Trigo grano,312948.53,300079.34,5270.2,1725400.88,5.75,95.89,1.684,False
Tuna,45551.21,44527.01,0.0,504238.24,11.32,97.75,0.0,False
Uva,38064.91,36638.33,4.0,507805.55,13.86,96.25,0.0105,False
Zanahoria,16043.71,15951.46,2.0,514610.31,32.26,99.43,0.0125,False
Zarzamora,12415.06,12165.95,0.0,266002.82,21.86,97.99,0.0,False
